# 3D Unsteady Flow: approximation to Ekman layer
# (P.R. Spalart, J.Fluid Mech. 205, 319)
# Free-stream velocity components are U,inf = U,0 cos(ft)
# and W,inf = U,0 sin(ft). U and W (and all six
# Reynolds stresses) are non-zero, but are functions of y and t only,
# not of x and z (so V = 0 by continuity). A program capable of computing
# steady flow over infinite swept wings (z coordinate along generators
# and d[ ]/dz=0) could be adapted: Ud[ ]/x becomes d[ ]/dt; Vd[ ]/dy
# and Wd[ ]/dz are zero - for different reasons - and the program can be
# stepped in time instead of marching in x.
# 
# Notation is explained in the JFM paper, especially para. 3.1:
# the defining Reynolds number, Rl, is U,0 [2/(f*nu)]^(1/2)
# where f is in rad/sec not Hz: it is independent of time.
# The length scale,delta = (Utau)/f, is quite close to the
# physical thickness: y- = y/delta. Rt = (Utau)*(delta)/nu. Phi0 (phi* in
# the JFM paper, eq. 18) is related to the direction of the surface shear
# stress, alpha = lim tan^1 (W/U) by eq. 18: it is not relevant to the
# computations.
# 
#  Rl            Utau     Phi0      Rt 
#  766.51428   0.05580   0.30867 914.74451
# 
# 
# === Part 1 ===
#   FIG 5 AND 7:
#      y-          U/Uref      W/Uref      yplus       U+          W+
  0.4836e+00  0.1030e+01  0.1757e-01  0.4424e+03  0.1769e+02 -0.5310e+01
  0.5082e+00  0.1030e+01  0.1243e-01  0.4649e+03  0.1765e+02 -0.5395e+01
  0.5343e+00  0.1029e+01  0.8531e-02  0.4887e+03  0.1761e+02 -0.5456e+01
  0.5620e+00  0.1027e+01  0.6213e-02  0.5141e+03  0.1757e+02 -0.5486e+01
  0.5916e+00  0.1025e+01  0.4500e-02  0.5411e+03  0.1753e+02 -0.5506e+01
  0.6232e+00  0.1023e+01  0.2326e-02  0.5701e+03  0.1749e+02 -0.5532e+01
  0.6572e+00  0.1021e+01  0.3563e-04  0.6012e+03  0.1744e+02 -0.5560e+01
  0.6939e+00  0.1019e+01 -0.1399e-02  0.6347e+03  0.1739e+02 -0.5572e+01
  0.7337e+00  0.1016e+01 -0.1769e-02  0.6712e+03  0.1734e+02 -0.5563e+01
  0.7772e+00  0.1015e+01 -0.1092e-02  0.7109e+03  0.1732e+02 -0.5543e+01
  0.8251e+00  0.1013e+01  0.9105e-03  0.7548e+03  0.1731e+02 -0.5501e+01
  0.8783e+00  0.1007e+01  0.2840e-02  0.8034e+03  0.1721e+02 -0.5435e+01
  0.9381e+00  0.9994e+00  0.1950e-02  0.8581e+03  0.1707e+02 -0.5408e+01
  0.1006e+01  0.9976e+00 -0.1015e-02  0.9205e+03  0.1703e+02 -0.5448e+01
  0.1086e+01  0.1000e+01 -0.2061e-02  0.9930e+03  0.1707e+02 -0.5480e+01
  0.1180e+01  0.1001e+01 -0.6507e-03  0.1080e+04  0.1709e+02 -0.5462e+01
  0.1297e+01  0.1001e+01  0.1486e-03  0.1187e+04  0.1709e+02 -0.5446e+01
  0.1451e+01  0.1000e+01 -0.3383e-03  0.1327e+04  0.1708e+02 -0.5452e+01
  0.1674e+01  0.1000e+01 -0.5076e-03  0.1532e+04  0.1707e+02 -0.5453e+01
  0.2088e+01  0.9999e+00 -0.1462e-03  0.1910e+04  0.1707e+02 -0.5446e+01

