 Filename:   3DC_PST_01.DAT      

 3D converging nozzle (3Dc)
 Static pressure 
 Wall pressure taps

 Dinamic pressure                1000.18 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               971.8 mbar
 Air temperature (start)            28.5 C   
 Re 1m /10.E6                     2.5491
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.16592E-04 m**2/s

 Date             3-MAY-90
 Time            10:33:59

  x [mm]    z [mm]    Pstat[Pa]  
   875.000  -150.000   47.7631
   875.000  -100.000   47.0913
   875.000   -50.000   46.4218
   875.000     0.000   46.3697
   875.000    50.000   46.4325
   875.000   100.000   47.6242
   875.000   150.000   47.3397
   875.000   200.000   49.5236
   875.000   250.000   52.2697

   900.000  -250.000   42.8165
   900.000  -200.000   42.7102
   900.000  -150.000   42.9840
   900.000  -100.000   44.4244
   900.000   -50.000   44.4575
   900.000     0.000   45.2845
   900.000    50.000   45.3284
   900.000   100.000   45.2433
   900.000   150.000   43.9894
   900.000   200.000   42.8881
   900.000   250.000   41.8652

   925.000  -250.000   32.0058
   925.000  -200.000   35.5325
   925.000  -150.000   38.0260
   925.000  -100.000   41.4298
   925.000   -50.000   43.1962
   925.000     0.000   44.3299
   925.000    50.000   44.4563
   925.000   100.000   42.8470
   925.000   150.000   38.6486
   925.000   200.000   35.3626
   925.000   250.000   30.6696

   950.000  -250.000   19.8121
   950.000  -200.000   26.8761
   950.000  -150.000   32.3229
   950.000  -100.000   38.2707
   950.000   -50.000   41.2458
   950.000     0.000   43.0241
   950.000    50.000   42.3489
   950.000   100.000   39.4116
   950.000   150.000   34.1737
   950.000   200.000   27.3546
   950.000   250.000   19.5211

   975.000  -250.000    8.6027
   975.000  -200.000   18.2124
   975.000  -150.000   26.5510
   975.000  -100.000   34.4546
   975.000   -50.000   38.3665
   975.000     0.000   40.3028
   975.000    50.000   39.6534
   975.000   100.000   36.3876
   975.000   150.000   29.1630
   975.000   200.000   19.0251
   975.000   250.000    7.7434

  1000.000  -250.000   -2.2114
  1000.000  -200.000    9.8769
  1000.000  -150.000   20.6079
  1000.000  -100.000   30.4905
  1000.000   -50.000   35.7250
  1000.000     0.000   38.6426
  1000.000    50.000   37.5008
  1000.000   100.000   33.1561
  1000.000   150.000   23.8169
  1000.000   200.000   11.5186
  1000.000   250.000   -1.9049

  1025.000  -250.000  -13.2358
  1025.000  -200.000    2.1877
  1025.000  -150.000   16.5331
  1025.000  -100.000   28.0279
  1025.000   -50.000   34.3635
  1025.000     0.000   36.8096
  1025.000    50.000   36.0191
  1025.000   100.000   30.3415
  1025.000   150.000   19.4478
  1025.000   200.000    4.6672
  1025.000   250.000  -12.2645

  1050.000  -250.000  -24.6096
  1050.000  -200.000   -4.9202
  1050.000  -150.000   11.7942
  1050.000  -100.000   24.8088
  1050.000   -50.000   32.1597
  1050.000     0.000   35.2536
  1050.000    50.000   34.0277
  1050.000   100.000   27.2590
  1050.000   150.000   15.0197
  1050.000   200.000   -2.0331
  1050.000   250.000  -21.2908

  1075.000  -250.000  -35.2264
  1075.000  -200.000  -11.2338
  1075.000  -150.000    7.0854
  1075.000  -100.000   21.5386
  1075.000   -50.000   30.2686
  1075.000     0.000   33.4264
  1075.000    50.000   31.5572
  1075.000   100.000   23.9453
  1075.000   150.000   10.3096
  1075.000   200.000   -7.9032
  1075.000   250.000  -29.2086

  1100.000  -200.000  -16.3617
  1100.000  -150.000    2.7229
  1100.000  -100.000   18.2723
  1100.000   -50.000   26.9153
  1100.000     0.000   31.0836
  1100.000    50.000   29.3236
  1100.000   100.000   21.1262
  1100.000   150.000    5.5119
  1100.000   200.000  -14.3661

  1125.000  -200.000  -21.2316
  1125.000  -150.000   -1.6969
  1125.000  -100.000   15.1688
  1125.000   -50.000   24.7405
  1125.000     0.000   28.7840
  1125.000    50.000   26.7472
  1125.000   100.000   17.7329
  1125.000   150.000    1.5577
  1125.000   200.000  -19.5288

  1150.000  -200.000  -25.4105
  1150.000  -150.000   -5.0298
  1150.000  -100.000   12.4088
  1150.000   -50.000   22.5465
  1150.000     0.000   26.9822
  1150.000    50.000   24.6330
  1150.000   100.000   15.8141
  1150.000   150.000   -1.3476
  1150.000   200.000  -23.2275

  1175.000  -200.000  -28.8719
  1175.000  -150.000   -7.3786
  1175.000  -100.000   10.4747
  1175.000   -50.000   21.2812
  1175.000     0.000   25.6887
  1175.000    50.000   23.3836
  1175.000   100.000   13.5603
  1175.000   150.000   -4.1543
  1175.000   200.000  -26.7302

  1200.000  -200.000  -32.8173
  1200.000  -150.000  -10.4434
  1200.000  -100.000    8.0873
  1200.000   -50.000   19.5108
  1200.000     0.000   23.3274
  1200.000    50.000   20.5877
  1200.000   100.000   10.7673
  1200.000   150.000   -7.1611
  1200.000   200.000  -30.1504

  1225.000  -200.000  -37.1191
  1225.000  -150.000  -13.4924
  1225.000  -100.000    5.9500
  1225.000   -50.000   16.8036
  1225.000     0.000   20.9319
  1225.000    50.000   18.7916
  1225.000   100.000    8.4537
  1225.000   150.000   -9.4938
  1225.000   200.000  -33.7303

  1250.000  -200.000  -39.9302
  1250.000  -150.000  -15.7906
  1250.000  -100.000    3.0390
  1250.000   -50.000   14.9203
  1250.000     0.000   19.5003
  1250.000    50.000   16.8435
  1250.000   100.000    6.9521
  1250.000   150.000  -11.6743
  1250.000   200.000  -35.5602

  1275.000  -200.000  -40.1423
  1275.000  -150.000  -16.7891
  1275.000  -100.000    1.3112
  1275.000   -50.000   13.3769
  1275.000     0.000   17.6026
  1275.000    50.000   15.2227
  1275.000   100.000    5.5599
  1275.000   150.000  -13.2257
  1275.000   200.000  -37.3622

  1300.000  -200.000  -38.1352
  1300.000  -150.000  -17.9486
  1300.000  -100.000   -0.3642
  1300.000   -50.000   12.0110
  1300.000     0.000   16.0121
  1300.000    50.000   13.4853
  1300.000   100.000    4.4181
  1300.000   150.000  -14.4756
  1300.000   200.000  -37.9278

  1325.000  -200.000  -37.6465
  1325.000  -150.000  -18.9962
  1325.000  -100.000   -1.1049
  1325.000   -50.000   10.8584
  1325.000     0.000   15.2644
  1325.000    50.000   12.6751
  1325.000   100.000    3.3047
  1325.000   150.000  -14.1046
  1325.000   200.000  -37.2081

  1350.000  -200.000  -40.7779
  1350.000  -150.000  -19.6931
  1350.000  -100.000   -1.7140
  1350.000   -50.000    9.8386
  1350.000     0.000   14.4323
  1350.000    50.000   11.7949
  1350.000   100.000    2.3762
  1350.000   150.000  -14.1800
  1350.000   200.000  -35.5585

  1375.000  -200.000  -44.6430
  1375.000  -150.000  -20.2439
  1375.000  -100.000   -2.2211
  1375.000   -50.000    8.3201
  1375.000     0.000   12.6097
  1375.000    50.000   10.5305
  1375.000   100.000    1.8799
  1375.000   150.000  -13.8018
  1375.000   200.000  -33.6467

  1400.000  -200.000  -45.8330
  1400.000  -150.000  -20.1445
  1400.000  -100.000   -2.3674
  1400.000   -50.000    8.4220
  1400.000     0.000   12.3187
  1400.000    50.000    9.9233
  1400.000   100.000    2.0984
  1400.000   150.000  -12.7097
  1400.000   200.000  -32.1643

  1425.000  -200.000  -42.5434
  1425.000  -150.000  -20.2079
  1425.000  -100.000   -3.0876
  1425.000   -50.000    6.6354
  1425.000     0.000   10.4573
  1425.000    50.000    8.3983
  1425.000   100.000    0.9578
  1425.000   150.000  -13.5269
  1425.000   200.000  -31.6780

  1450.000  -200.000  -36.1516
  1450.000  -150.000  -19.1706
  1450.000  -100.000   -3.8706
  1450.000   -50.000    5.7542
  1450.000     0.000    9.5024
  1450.000    50.000    7.9157
  1450.000   100.000    0.8968
  1450.000   150.000  -13.1687
  1450.000   200.000  -29.7011

  1475.000  -200.000  -32.0409
  1475.000  -150.000  -17.8837
  1475.000  -100.000   -4.0682
  1475.000   -50.000    4.9018
  1475.000     0.000    9.0678
  1475.000    50.000    7.1716
  1475.000   100.000    0.7211
  1475.000   150.000  -12.3016
  1475.000   200.000  -27.7557

  1500.000  -200.000  -29.7396
  1500.000  -150.000  -16.3134
  1500.000  -100.000   -3.3197
  1500.000   -50.000    4.5456
  1500.000     0.000    8.3375
  1500.000    50.000    6.6283
  1500.000   100.000    0.6583
  1500.000   150.000  -11.1108
  1500.000   200.000  -25.2137

  1525.000  -200.000  -28.5537
  1525.000  -150.000  -15.6016
  1525.000  -100.000   -2.9012
  1525.000   -50.000    4.4053
  1525.000     0.000    7.8415
  1525.000    50.000    6.1982
  1525.000   100.000    0.8422
  1525.000   150.000   -9.9909
  1525.000   200.000  -22.3629

  1550.000  -200.000  -26.0368
  1550.000  -150.000  -14.1824
  1550.000  -100.000   -2.9565
  1550.000   -50.000    4.6020
  1550.000     0.000    6.9998
  1550.000    50.000    6.1134
  1550.000   100.000    0.4660
  1550.000   150.000   -9.6667
  1550.000   200.000  -20.4562

  1575.000  -200.000  -22.9449
  1575.000  -150.000  -13.1902
  1575.000  -100.000   -3.0494
  1575.000   -50.000    3.3573
  1575.000     0.000    6.6075
  1575.000    50.000    5.4851
  1575.000   100.000    0.2278
  1575.000   150.000   -9.0640
  1575.000   200.000  -19.7733

  1600.000  -200.000  -19.3013
  1600.000  -150.000  -11.9003
  1600.000  -100.000   -2.5521
  1600.000   -50.000    3.9700
  1600.000     0.000    5.9909
  1600.000    50.000    5.5105
  1600.000   100.000    1.0351
  1600.000   150.000   -8.0040
  1600.000   200.000  -18.9549

  1625.000  -200.000  -17.8652
  1625.000  -150.000  -10.9045
  1625.000  -100.000   -2.6659
  1625.000   -50.000    2.6586
  1625.000     0.000    5.4171
  1625.000    50.000    4.3355
  1625.000   100.000   -0.5360
  1625.000   150.000   -9.6415
  1625.000   200.000  -21.0290

  1650.000  -200.000  -19.4784
  1650.000  -150.000  -10.9148
  1650.000  -100.000   -3.0089
  1650.000   -50.000    2.3800
  1650.000     0.000    4.6634
  1650.000    50.000    4.3511
  1650.000   100.000   -0.2702
  1650.000   150.000   -8.6611
  1650.000   200.000  -18.5290

  1675.000  -200.000  -17.7314
  1675.000  -150.000  -10.4422
  1675.000  -100.000   -2.4777
  1675.000   -50.000    2.7645
  1675.000     0.000    5.3963
  1675.000    50.000    4.5171
  1675.000   100.000    0.5479
  1675.000   150.000   -7.8744
  1675.000   200.000  -19.2713

  1700.000  -200.000  -17.6000
  1700.000  -150.000  -10.7137
  1700.000  -100.000   -2.4928
  1700.000   -50.000    2.6417
  1700.000     0.000    5.0341
  1700.000    50.000    4.2447
  1700.000   100.000    0.2278
  1700.000   150.000   -6.8284
  1700.000   200.000  -18.8360

  1725.000  -200.000  -17.7701
  1725.000  -150.000   -9.8264
  1725.000  -100.000   -2.6565
  1725.000   -50.000    1.7992
  1725.000     0.000    4.0057
  1725.000    50.000    3.6123
  1725.000   100.000    0.9783
  1725.000   150.000   -5.6703
  1725.000   200.000  -14.3819

  1750.000  -200.000  -17.6661
