 Filename:   3DC_P3S_04.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.69 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               959.4 mbar
 Air temperature (start)            32.1 C   
 Re 1m /10.E6                     2.4947
 Air density (start)              1.0900 kg/m**3 
 Air kin. viscosity (start)  0.17168E-04 m**2/s

 Date            22-MAY-90
 Time            14:25:40

*****************************************************

 x [mm] =     0.00

 z [mm] =     0.00

 temperature   [C] =     32.2

 density [kg/m**3] =  1.08923

 y [mm]   Q  [m/s]  yaw[deg]  

  44.000   39.2289    0.2118
  42.000   38.8493    0.2467
  40.000   38.3918    0.2640
  38.000   37.9650    0.2895
  36.000   37.5292    0.2226
  34.000   37.1528    0.3180
  32.000   36.6028    0.3128
  30.000   36.1925    0.3023
  28.000   35.7178    0.2933
  26.000   35.0949    0.3334
  24.000   34.6118    0.3641
  22.000   33.9333    0.3862
  20.000   33.3979    0.3803
  19.000   32.9575    0.3531
  18.000   32.6585    0.3327
  17.000   32.3009    0.3565
  16.000   31.7572    0.4139
  15.000   31.5099    0.4431
  14.000   31.1776    0.4116
  13.000   30.8857    0.3635
  12.000   30.2034    0.3928
  11.000   29.9134    0.4248
  10.000   29.4895    0.3834
   9.000   29.0070    0.4609
   8.000   28.4124    0.4110
   7.000   27.9210    0.5542
   6.000   27.1626    0.5417
   5.000   26.5288    0.6041
   4.500   26.0582    0.5655
   4.000   25.6876    0.5363
   3.500   25.3694    0.5253
   3.000   24.8181    0.4403
   2.500   24.1911    0.5388
   2.000   23.4148    0.4828
   1.500   22.6331    0.5382
   1.000   21.4788    0.6503
   0.800   20.7401    0.6727
   0.650   20.2899    0.5933
   0.500   19.5638    0.6700
   0.350   18.2810    0.7224
   0.250   16.8420    0.7821

