 Filename:   3DC_P3S_02.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.71 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.9 mbar
 Air temperature (start)            29.9 C   
 Re 1m /10.E6                     2.5192
 Air density (start)              1.0998 kg/m**3 
 Air kin. viscosity (start)  0.16925E-04 m**2/s

 Date            22-MAY-90
 Time            08:04:55

*****************************************************

 x [mm] =     0.00

 z [mm] =  -150.00

 temperature   [C] =     30.0

 density [kg/m**3] =  1.09887

 y [mm]   Q  [m/s]  yaw[deg]  

  42.000   42.8386    0.4053
  40.000   42.5563    0.4447
  38.000   42.2981    0.4407
  36.000   41.9913    0.5188
  34.000   41.6776    0.5330
  32.000   41.3864    0.5986
  30.000   41.1170    0.6297
  28.000   40.7580    0.7006
  26.000   40.4306    0.7632
  24.000   39.9433    0.8628
  22.000   39.5124    0.9119
  20.000   39.0777    0.9907
  19.000   38.7971    1.0616
  18.000   38.5617    1.0799
  17.000   38.1381    1.1167
  16.000   37.9785    1.1359
  15.000   37.6098    1.1992
  14.000   37.2156    1.2448
  13.000   36.9000    1.3072
  12.000   36.4113    1.3449
  11.000   35.9754    1.3197
  10.000   35.3413    1.4522
   9.000   35.0351    1.4106
   8.000   34.3832    1.5341
   7.000   33.8686    1.4777
   6.000   33.1244    1.5609
   5.000   32.3104    1.5681
   4.500   31.7617    1.5422
   4.000   31.3369    1.6163
   3.500   30.8660    1.5325
   3.000   30.2806    1.4719
   2.500   29.3773    1.5108
   2.000   28.4723    1.5026
   1.500   27.5446    1.5885
   1.000   26.0413    1.4634
   0.800   25.3243    1.4807
   0.650   24.6537    1.3999
   0.500   23.8888    1.5601
   0.350   22.6012    1.5536
   0.250   21.0428    1.6182

*****************************************************

 x [mm] =  2500.00

 z [mm] =  -150.00

 temperature   [C] =     31.6

 density [kg/m**3] =  1.09212

