# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 15
             TABLE C. 6           CASE R.ST6      Station=  1
             X/H=  -4.0      Tunnel Run#=  12   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           27  6.00  0.974  0.012  0.69  0.60  0.24   0.02  0.01 -0.01 -0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  9
             X/H=   4.0      Tunnel Run#=  21   Ue/Uref=   0.962      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.149 -0.007  8.77  5.72 -1.26   2.95  1.25 -1.38 -1.70
            3  0.15 -0.152 -0.009  8.91  6.27 -1.95   4.55  2.17 -2.42 -2.82
            4  0.20 -0.137 -0.010 10.69  7.59 -2.88   7.07  3.62 -3.42 -3.47
            5  0.30 -0.098 -0.019 15.75 10.65 -5.36  12.26  5.26 -5.51 -5.30
            6  0.40 -0.047 -0.023 21.36 13.80 -7.19  14.77  5.96 -6.28 -5.06
            7  0.50  0.033 -0.034 28.12 15.93 -9.06   8.82  2.68 -2.84 -3.27
            8  0.60  0.129 -0.038 29.32 16.46 -9.28  -9.00 -1.62  2.60 -0.64
            9  0.70  0.226 -0.044 27.19 15.76 -9.33 -17.56 -5.75  6.65  2.06
           10  0.80  0.319 -0.048 22.23 14.49 -8.07 -12.61 -5.94  6.43  3.28
           11  0.90  0.395 -0.047 19.91 13.09 -7.37  -9.43 -5.30  5.69  3.37
           12  1.00  0.475 -0.045 17.68 11.53 -6.30  -7.86 -4.87  5.27  4.32
           13  1.10  0.560 -0.042 16.32  9.10 -4.91  -7.26 -3.96  4.36  3.30
           14  1.15  0.596 -0.040 14.82  8.05 -4.23  -8.28 -3.85  4.31  3.20
           15  1.20  0.633 -0.038 13.32  7.00 -3.56  -9.29 -3.74  4.27  3.10
           16  1.30  0.704 -0.032  9.85  5.01 -2.52  -6.94 -2.55  2.72  2.19
           17  1.40  0.751 -0.030  6.80  3.60 -1.70  -3.37 -1.32  1.36  1.43
           18  1.50  0.788 -0.028  4.75  2.72 -1.19  -1.38 -0.60  0.70  0.82
           19  1.70  0.839 -0.026  3.39  1.90 -0.77  -0.60 -0.18  0.22  0.25
           20  2.00  0.897 -0.023  2.19  1.21 -0.47  -0.43 -0.13  0.17  0.13
           21  2.40  0.951 -0.017  1.00  0.65 -0.04  -0.17 -0.04  0.06  0.06
           22  2.80  0.968 -0.012  0.51  0.41  0.13   0.03  0.02  0.02  0.02
           23  3.20  0.966 -0.005  0.47  0.36  0.12   0.02  0.01  0.00  0.00
           24  3.60  0.964 -0.001  0.47  0.36  0.13   0.02  0.02  0.00  0.01
           25  4.00  0.963  0.000  0.48  0.36  0.12   0.04  0.02  0.00  0.01
           26  5.00  0.961  0.011  0.48  0.38  0.14   0.03  0.02  0.01  0.01
           27  6.00  0.962  0.025  0.44  0.32  0.11   0.03  0.02  0.00  0.01
           28  8.00  0.959  0.051  0.47  0.39  0.12   0.02  0.02  0.01  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 10
             X/H=   5.0      Tunnel Run#=  22   Ue/Uref=   0.950      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.120 -0.013  9.68  7.25  -2.86   6.43  3.18 -2.96 -2.59
            3  0.15 -0.111 -0.014 12.14  8.46  -3.30   9.86  4.19 -3.77 -4.41
            4  0.20 -0.091 -0.019 15.02 10.41  -4.81  13.73  5.40 -5.02 -5.03
            5  0.30 -0.040 -0.032 21.53 14.44  -7.65  16.88  6.41 -6.14 -5.34
            6  0.40  0.029 -0.042 28.18 17.13  -9.62  11.55  3.65 -2.46 -4.31
            7  0.50  0.106 -0.052 31.38 18.47 -10.35  -3.15 -1.29  2.19 -0.54
            8  0.60  0.197 -0.056 30.74 17.63 -10.43 -18.32 -5.70  7.91  2.94
            9  0.70  0.277 -0.062 26.53 16.19  -9.24 -19.84 -6.88  7.31  3.84
           10  0.80  0.355 -0.062 21.82 14.49  -7.85 -13.80 -6.37  7.06  4.04
           11  0.90  0.425 -0.062 20.32 12.55  -7.16 -11.75 -6.03  7.23  4.39
           12  1.00  0.492 -0.058 18.37 10.78  -5.94 -10.28 -5.06  5.69  3.61
           13  1.10  0.565 -0.054 16.53  8.94  -4.88 -10.11 -4.74  5.40  3.97
           14  1.15  0.597 -0.052 14.84  8.01  -4.20  -9.16 -4.03  4.51  3.47
           15  1.20  0.629 -0.049 13.14  7.07  -3.53  -8.22 -3.32  3.62  2.96
           16  1.30  0.688 -0.043 10.61  5.31  -2.62  -7.83 -2.51  2.45  2.40
           17  1.40  0.735 -0.040  7.55  4.05  -1.89  -4.75 -1.87  1.99  1.72
           18  1.50  0.775 -0.037  5.36  2.93  -1.28  -2.11 -0.74  0.81  0.96
           19  1.70  0.826 -0.034  3.47  1.88  -0.76  -0.73 -0.18  0.28  0.28
           20  2.00  0.883 -0.029  2.16  1.20  -0.44  -0.37 -0.12  0.17  0.12
           21  2.40  0.936 -0.022  1.04  0.66  -0.06  -0.17 -0.05  0.07  0.06
           22  2.80  0.954 -0.016  0.51  0.40   0.12   0.03  0.02  0.01  0.02
           23  3.20  0.954 -0.008  0.47  0.35   0.12   0.03  0.02  0.00  0.00
           24  3.60  0.954 -0.003  0.47  0.34   0.12   0.05  0.03  0.01  0.01
           25  4.00  0.952  0.000  0.43  0.32   0.10   0.01  0.01 -0.01  0.00
           26  5.00  0.950  0.011  0.49  0.36   0.14   0.03  0.02  0.01  0.01
           27  6.00  0.950  0.025  0.48  0.36   0.14   0.03  0.03  0.01  0.02
           28  8.00  0.949  0.051  0.44  0.35   0.10   0.02  0.01  0.01  0.00

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 11
             X/H=   6.0      Tunnel Run#=  23   Ue/Uref=   0.936      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
